"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2024","2,031.40","2,036.65","2,038.35","2,031.05","","-0.08%"
"01/09/2024","2,033.00","2,034.50","2,048.60","2,031.90","","-0.02%"
"01/08/2024","2,033.50","2,052.60","2,053.30","2,022.70","220.99K","-0.80%"
"01/05/2024","2,049.80","2,051.40","2,071.10","2,030.80","214.68K","-0.01%"
"01/04/2024","2,050.00","2,049.30","2,058.10","2,043.30","130.26K","0.35%"
"01/03/2024","2,042.80","2,067.90","2,074.30","2,038.30","221.68K","-1.48%"
"01/02/2024","2,073.40","2,072.70","2,088.10","2,064.30","157.56K","0.02%"
"01/01/2024","2,072.90","2,071.75","2,075.70","2,071.75","","0.05%"
"12/29/2023","2,071.80","2,076.10","2,084.10","2,067.60","105.72K","-0.56%"
"12/28/2023","2,083.50","2,089.50","2,098.20","2,074.60","129.54K","0.00%"
"12/27/2023","2,083.40","2,068.00","2,085.30","2,063.30","0.59K","1.12%"
"12/26/2023","2,060.40","2,056.30","2,069.60","2,056.30","0.29K","-0.30%"
"12/25/2023","2,066.65","2,065.30","2,067.60","2,065.30","","0.34%"
"12/22/2023","2,059.60","2,051.50","2,072.30","2,049.40","0.44K","0.87%"
"12/21/2023","2,041.80","2,034.70","2,048.00","2,034.00","0.54K","0.18%"
"12/20/2023","2,038.10","2,043.50","2,045.90","2,031.60","0.26K","-0.22%"
"12/19/2023","2,042.60","2,031.00","2,050.00","2,025.40","0.47K","0.58%"
"12/18/2023","2,030.90","2,023.70","2,036.30","2,020.80","0.25K","0.24%"
"12/15/2023","2,026.00","2,038.00","2,049.60","2,020.00","0.63K","-0.45%"
"12/14/2023","2,035.20","2,031.60","2,053.00","2,030.60","0.56K","2.37%"
"12/13/2023","1,988.10","1,985.50","2,033.30","1,979.00","2.22K","0.21%"
"12/12/2023","1,983.90","1,989.00","2,002.70","1,983.50","0.57K","-0.49%"
"12/11/2023","1,993.70","2,020.00","2,023.70","1,991.20","160.07K","-1.03%"